,ID,Confidence,Chain(A=0)(B=1)
0,149_150_4740,0.04,1
1,149_150_4740,0.07,1
2,149_150_4740,0.02,1
3,149_150_4740,0.04,1
4,149_150_4740,-0.01,1
5,149_150_4740,0.02,1
6,149_150_4740,-0.05,1
7,149_150_4740,-0.10,1
8,149_150_4740,-0.18,1
9,149_150_4740,-0.06,1
10,149_150_4740,-0.16,1
11,149_150_4740,-0.21,1
12,149_150_4740,-0.09,1
13,149_150_4740,-0.21,1
14,149_150_4740,-0.27,1
15,149_150_4740,-0.11,1
16,149_150_4740,-0.27,1
17,149_150_4740,-0.30,1
18,149_150_4740,-0.34,1
19,149_150_4740,-0.36,1
20,149_150_4740,-0.37,1
21,149_150_4740,-0.36,1
22,149_150_4740,-0.37,1
23,149_150_4740,-0.39,1
24,149_150_4740,-0.39,1
25,149_150_4740,-0.40,1
26,149_150_4740,-0.46,0
27,149_150_4740,-0.41,0
28,149_150_4740,-0.48,0
29,149_150_4740,-0.43,1
30,149_150_4740,-0.48,0
31,149_150_4740,-0.49,1
32,149_150_4740,-0.49,0
33,149_150_4740,-0.50,0
34,149_150_4740,-0.50,1
35,149_150_4740,-0.51,1
36,149_150_4740,-0.56,0
37,149_150_4740,-0.50,1
38,149_150_4740,-0.53,0
39,149_150_4740,-0.57,0
40,149_150_4740,-0.52,0
41,149_150_4740,-0.53,0
42,149_150_4740,-0.58,0
43,149_150_4740,-0.52,0
44,149_150_4740,-0.56,1
45,149_150_4740,-0.59,0
46,149_150_4740,-0.53,0
47,149_150_4740,-0.57,0
48,149_150_4740,-0.59,0
49,149_150_4740,-0.56,1
50,149_150_4740,-0.57,0
51,149_150_4740,-0.60,1
52,149_150_4740,-0.59,1
53,149_150_4740,-0.60,0
54,149_150_4740,-0.59,0
55,149_150_4740,-0.61,0
56,149_150_4740,-0.60,0
57,149_150_4740,-0.62,0
58,149_150_4740,-0.65,0
59,149_150_4740,-0.60,1
60,149_150_4740,-0.62,0
61,149_150_4740,-0.65,1
62,149_150_4740,-0.61,1
63,149_150_4740,-0.63,0
64,149_150_4740,-0.65,1
65,149_150_4740,-0.63,0
66,149_150_4740,-0.65,0
67,149_150_4740,-0.66,0
68,149_150_4740,-0.63,0
69,149_150_4740,-0.65,1
70,149_150_4740,-0.67,1
71,149_150_4740,-0.64,0
